Address,2006Area,2006EUI,2015Area,2015EUI,2016Area,2016EUI,2017Area,2017EUI,2018Area,2018EUI,2019Area,2019EUI,2020Area,2020EUI,2021Area,2021EUI
2cummingtonmall,59825.75,25.54924928,,,,,,,,,,,,,,
30-38cummingtonstreet,36466.44,37.24813829,"36,563",236.1,36563,252.7,"36,563",213.1,36563,232.3,36563,283.7,36563,248.6,,
42-44cummingtonstreet,101335.67,38.54829203,"96,500",260.4,96500,274.7,"96,500",277.7,96500,278,96500,297.9,96500,263.2,,
3-5cummingtonstreet(616-620comm.ave.),152457.33,26.87505415,"149,118",166.9,149118,199.5,"149,118",166.3,149118,162.9,149118,164.9,149118,164,,
631-639commonwealthavenue,100339.72,16.22688802,,,113621,97,"113,621",91.8,113621,80.4,113621,65.6,113621,49.1,,
111cummingtonstreet(664-666comm.ave),92270.64,35.67560602,"93,831",131.7,93831,327,"93,831",315.1,93831,195.7,93831,190.7,93831,169.5,,
20-28cummingtonstreet(24cummingtonst),191654.13,58.78081991,"188,575",323.1,188575,365.5,"188,575",386.6,188575,342.2,188575,323.5,188575,263.1,,
582-596commonwealthavenue(590comm/712bea),287433.03,33.39194212,"280,838",360.4,280838,351.9,"280,838",321.5,280838,308.2,280838,294.5,280838,310.1,,
677beaconstreet,26259.98,32.15878306,,,,,,,,,,,,,,
48-52cummingtonmall,17089.16,24.28882988,,,,,,,,,,,,,,
6-8st.mary'sstreet,286718.38,42.1609675,"289,059",279.6,289059,280.5,"289,059",219.1,289059,189.6,289059,213.7,289059,199.4,,
10buickstreet,384941.16,39.27271451,"384,971",150.9,384971,51.9,"384,971",54.8,384971,145.8,384971,137.6,384971,133.5,,
112baystateroad,4961.74,3.809087135,,,,,,,,,,,,,,
183baystateroad,8621.75,3.323107258,,,,,,,,,,,,,,
610beaconstreet,203525.46,6.413924823,,,,,,,,,,,,,,
68-70baystateroad,11906.9,1.579168381,,,,,,,,,,,,,,
69baystateroad,8736.45,6.376093264,,,,,,,,,,,,,,
79baystateroad,11435.95,2.801280173,,,,,,,,,,,,,,
81baystateroad,10703.48,8.780209801,,,,,,,,,,,,,,
90-92baystateroad,12349.05,4.673404027,,,,,,,,,,,,,,
