Building Code,Address,Property Type,E,G,O,Building Gross Footage
581,2 Cummington Mall,Research,1486320,42183,0,59825.75
582,30-38 Cummington Street,Research,1309308,43468,5531,36466.44
587,42-44 Cummington Street,Research,3800070,106247,0,101335.67
595,3-5 Cummington Street (616-620 Comm. Ave.),Research,3957840,139459,0,152457.33
597,631-639 Commonwealth Avenue,Research,1588680,39331,190.4,100339.72
605,111 Cummington Street (664-666 Comm. Ave),Research,3290340,1471,0,92270.64
643,20-28 Cummington Street (24 Cummington St),Research,10906560,295343,63683.9,191654.13
647,582-596 Commonwealth Avenue (590 Comm / 712 Bea),Research,9402240,10367,185340.1,287433.03
649,677 Beacon Street,Research,832200,12289,0,26259.98
650,48-52 Cummington Mall,Research,406000,0,9075.7,17089.16
761,6-8 St. Mary's Street,Research,11651900,365552,70872.3,286718.38
