Building Code,Address,Property Type,E (kWh),G(therms),O(gallon),Building Gross Footage
500,10 Buick Street,Residential,13205241.58,1658548,253894.7,384941.16
506,112 BAY STATE ROAD,Residential,15476,852,2571.7,4961.74
508,183 BAY STATE ROAD,Residential,21382,7269,0,8621.75
509,610 BEACON STREET,Residential,1201216,4408,99773,203525.46
510,68-70 BAY STATE ROAD,Residential,18803,0,0,11906.9
512,69 BAY STATE ROAD,Residential,42136.42,13568,0,8736.45
514,79 BAY STATE ROAD,Residential,26833,1658,3544.3,11435.95
515,81 BAY STATE ROAD,Residential,80168,10035,3775.8,10703.48
516,90-92 BAY STATE ROAD,Residential,52177,4052,1483.1,12349.05
518,91 Bay State Road,Residential,1266800,5469,60751.4,113335.15
519,96 Bay State Road,Residential,60568,20143,0,28553.25
522,140 Bay State Road,Residential,1457880,91418,35656.9,127815.2
525,192 BAY STATE ROAD,Residential,23609,0,0,5128.24
527,153 BAY STATE ROAD,Residential,52164,6846,0,8140.83
528,159 Bay State Road,Residential,90699,3420,6648.7,7397.32
529,164 BAY STATE ROAD,Residential,22961,0,3343.9,6082.02
530,167-169 BAY STATE ROAD,Residential,58123,11039,0,13947.58
531,158-162 BAY STATE ROAD,Residential,90051,4135,5056.3,14907.94
532,176 BAY STATE ROAD,Residential,53468,2514,0,4903.89
533,175 BAY STATE ROAD,Residential,39059,8945,0,6898.98
534,166-168 BAY STATE ROAD,Residential,81102,6118,0,12453.16
535,182 BAY STATE ROAD,Residential,83808,9248,0,4951.86
537,208 BAY STATE ROAD,Residential,38825,3582,0,6546.28
538,206 BAY STATE ROAD,Residential,44291,4382,0,6820.32
540,198 BAY STATE ROAD,Residential,26151,0,1700,5085.87
541,199 BAY STATE ROAD,Residential,34663,1254,3172.9,6780.59
543,177 BAY STATE ROAD,Residential,28363,1143,1792.6,7128.95
544,179 BAY STATE ROAD,Residential,38399,305,2837,7057.38
546,196 BAY STATE ROAD,Residential,29513,35,860.3,4932.22
547,214 BAY STATE ROAD,Residential,25861,5151,0,6285.53
553,157 BAY STATE ROAD,Residential,39029,0,4700,9551.19
554,195-197 BAY STATE ROAD,Residential,66839,1902,4249.1,13747.44
555,11 BAY STATE ROAD,Residential,9992.67,0,0,9596.25
556,193 BAY STATE ROAD,Residential,36273,3268,0,6974.95
557,201 BAY STATE ROAD,Residential,31459,6067,0,6933.11
558,203 BAY STATE ROAD,Residential,26592,4095,0,6954.06
560,181 BAY STATE ROAD,Residential,44199,2890,0,7200.27
563,117 BAY STATE ROAD,Residential,63063,0,0,10143.13
565,194 BAY STATE ROAD,Residential,32747,8556,0,4916
572,180 BAY STATE ROAD,Residential,28392,2262,0,4846.51
573,210-212 BAY STATE ROAD,Residential,90365,5962,0,12664.23
574,207 BAY STATE ROAD,Residential,61451,5364,0,8069.54
576,531 BEACON STREET,Residential,24639,3,3953.4,9075.24
583,38 BUSWELL STREET,Residential,50040,0,3736.3,9485.88
584,14 BUSWELL STREET,Residential,258702,71340,0,67049.22
586,40 BUSWELL STREET,Residential,379887,16391,27735,10572.33
589,31 BUSWELL STREET,Residential,21751,2402,0,5108.79
590,,Residential,38000,3824,0,
592,188 BAY STATE ROAD,Residential,55415,0,2844.8,4935.27
598,627-629 COMMONWEALTH AVENUE,Residential,136215,0,0,15342.65
601,113 BAY STATE ROAD,Residential,17297.5,3862,0,7790.96
604,88 BAY STATE ROAD,Residential,25124,371,2137.7,5866.09
607,700 COMMONWEALTH AVENUE,Residential,0,31807,0,638216.1
618,722  COMMONWEALTH AVENUE,Residential,391372,63362,0,28633.11
652,580 COMMONWEALTH AVENUE,Residential,1849680,51481,0,124794.43
653,172 BAY STATE ROAD,Residential,29413,3787,0,4845.14
